Key,LastModified_after,Size_after,LastModified_before,Size_before,size_changed,size_diff
Lithobates_catesbeianus.csv,2023-10-11T20:01:18.000Z,322367,2023-10-11T20:01:18.000Z,322367,FALSE,0
Oxyura_jamaicensis.csv,2023-10-11T20:01:19.000Z,12808,2023-10-11T20:01:19.000Z,12808,FALSE,0
aantal_gemelde_nesten.geojson,2023-10-11T20:01:19.000Z,78976,2023-10-11T20:01:19.000Z,78976,FALSE,0
aantal_lente_nesten.csv,2023-10-11T20:01:19.000Z,465,2023-10-11T20:01:19.000Z,465,FALSE,0
actieve_haarden.geojson,2023-10-11T20:01:19.000Z,506797,2023-10-11T20:01:19.000Z,506797,FALSE,0
be_alientaxa_cube.csv,2023-10-11T19:49:50.000Z,37620234,2023-10-11T19:49:50.000Z,37620234,FALSE,0
be_alientaxa_info.csv,2023-10-11T19:50:25.000Z,249278,2023-10-11T19:50:25.000Z,249278,FALSE,0
beheerde_nesten.geojson,2023-10-11T20:01:20.000Z,552085,2023-10-11T20:01:20.000Z,552085,FALSE,0
communes.geojson,2023-10-11T19:50:32.000Z,7395584,2023-10-11T19:50:32.000Z,7395584,FALSE,0
data_input_checklist_indicators.tsv,2023-10-11T19:50:33.000Z,12861125,2023-10-11T19:50:33.000Z,12861125,FALSE,0
dfCube.RData,2023-10-11T19:50:45.000Z,11338,2023-10-11T19:50:45.000Z,11338,FALSE,0
eu_concern_species.tsv,2023-10-11T19:50:45.000Z,4950,2023-10-11T19:50:45.000Z,4950,FALSE,0
full_timeseries.csv,2023-10-11T19:50:45.000Z,679294648,2023-10-11T19:50:45.000Z,679294648,FALSE,0
gewestbel.cpg,2023-10-11T20:01:04.000Z,5,2023-10-11T20:01:04.000Z,5,FALSE,0
gewestbel.dbf,2023-10-11T20:01:04.000Z,538,2023-10-11T20:01:04.000Z,538,FALSE,0
gewestbel.prj,2023-10-11T20:01:04.000Z,145,2023-10-11T20:01:04.000Z,145,FALSE,0
gewestbel.sbn,2023-10-11T20:01:04.000Z,172,2023-10-11T20:01:04.000Z,172,FALSE,0
gewestbel.sbx,2023-10-11T20:01:04.000Z,124,2023-10-11T20:01:04.000Z,124,FALSE,0
gewestbel.shp,2023-10-11T20:01:05.000Z,971808,2023-10-11T20:01:05.000Z,971808,FALSE,0
gewestbel.shx,2023-10-11T20:01:05.000Z,124,2023-10-11T20:01:05.000Z,124,FALSE,0
keys.csv,2023-10-11T20:01:18.000Z,303614,2023-10-11T20:01:18.000Z,303614,FALSE,0
myfile.txt,2023-09-05T07:26:47.000Z,552,2023-09-05T07:26:47.000Z,552,FALSE,0
nesten.geojson,2023-10-11T20:01:25.000Z,5489226,2023-10-11T20:01:25.000Z,5489226,FALSE,0
onbehandelde_nesten.geojson,2023-10-11T20:01:25.000Z,1070668,2023-10-11T20:01:25.000Z,1070668,FALSE,0
points.geojson,2023-10-11T20:01:32.000Z,7360909,2023-10-11T20:01:32.000Z,7360909,FALSE,0
provinces.geojson,2023-10-11T20:01:34.000Z,1479333,2023-10-11T20:01:34.000Z,1479333,FALSE,0
readme.md,2023-10-11T20:01:34.000Z,4735,2023-10-11T20:01:34.000Z,4735,FALSE,0
scafold.txt,2023-10-13T12:39:12.000Z,0,NA,NA,TRUE,0
translations.csv,2023-10-11T20:01:34.000Z,23198,2023-10-11T20:01:34.000Z,23198,FALSE,0
translations_v22-12-11.xlsx,2023-10-11T20:01:34.000Z,22353,2023-10-11T20:01:34.000Z,22353,FALSE,0
translations_v22-12-20.xlsx,2023-10-11T20:01:34.000Z,23457,2023-10-11T20:01:34.000Z,23457,FALSE,0
translations_v23-05-24.xlsx,2023-10-11T20:01:34.000Z,22568,2023-10-11T20:01:34.000Z,22568,FALSE,0
translations_v23-09-20_pars.xlsx,2023-10-11T20:01:34.000Z,11005,2023-10-11T20:01:34.000Z,11005,FALSE,0
utm10_bel_with_regions.gpkg,2023-10-11T20:01:18.000Z,233472,2023-10-11T20:01:18.000Z,233472,FALSE,0
utm1_bel_with_regions.gpkg,2023-10-11T20:01:05.000Z,12357632,2023-10-11T20:01:05.000Z,12357632,FALSE,0
