ID nest;provincie_corrected
335333;onbekend
241875;onbekend
49548;Antwerpen
411322;Antwerpen
299566;Vlaams-Brabant
83617;Oost-Vlaanderen
242904;Antwerpen
239192;West-Vlaanderen
69986;Oost-Vlaanderen
123566;onbekend
401836;Oost-Vlaanderen
301842;Vlaams-Brabant
223695;onbekend
70779;onbekend
430710;West-Vlaanderen
400181;West-Vlaanderen
44076;onbekend
184222;onbekend
35815;onbekend
401264;West-Vlaanderen
286380;Vlaams-Brabant
157291;onbekend
221165;onbekend
461800;Vlaams-Brabant
401966;West-Vlaanderen
255808;Oost-Vlaanderen
277540;onbekend
228294;onbekend
228392;onbekend
56381;Oost-Vlaanderen
32577;Vlaams-Brabant
203575;onbekend
321706;onbekend
387874;West-Vlaanderen
46155;onbekend
92932;onbekend
384556;onbekend
94878;Vlaams-Brabant
;West-Vlaanderen
425415;Oost-Vlaanderen
27033;Vlaams-Brabant
93771;onbekend
94646;Oost-Vlaanderen
86527;onbekend
275948;onbekend
81314;Vlaams-Brabant
407739;West-Vlaanderen
413640;Oost-Vlaanderen
109260;onbekend
187543;onbekend
153775;onbekend
149586;onbekend
274055;Oost-Vlaanderen
427116;onbekend
81544;West-Vlaanderen
465731;West-Vlaanderen
156688;West-Vlaanderen
450002;Oost-Vlaanderen
65492;onbekend
432227;Vlaams-Brabant
242954;Vlaams-Brabant
382136;niet Vlaanderen
413388;West-Vlaanderen
33173;onbekend
84083;Oost-Vlaanderen
58825;onbekend
288833;Vlaams-Brabant
423797;onbekend
188533;onbekend
281092;onbekend
281293;onbekend
405942;Oost-Vlaanderen
180265;onbekend
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
