harmonia_name;scientificName;gbif_taxonkey;harmonia_key;harmonia_url
Acer negundo;Acer negundo L.;3189866;103;https://ias.biodiversity.be/species/show/103
Acer rufinerve;Acer rufinerve Siebold & Zucc.;7263145;119;https://ias.biodiversity.be/species/show/119
Ailanthus altissima;Ailanthus altissima (Mill.) Swingle;3190653;32;https://ias.biodiversity.be/species/show/32
Aix galericulata;Aix galericulata (Linnaeus, 1758);2498388;18;https://ias.biodiversity.be/species/show/18
Akebia quinata;Akebia quinata (Houtt.) Decne.;3033965;121;https://ias.biodiversity.be/species/show/121
Alopochen aegyptiaca;Alopochen aegyptiaca (Linnaeus, 1766);2498252;19;https://ias.biodiversity.be/species/show/19
Ambrosia artemisiifolia;Ambrosia artemisiifolia L.;8002952;34;https://ias.biodiversity.be/species/show/34
Ameiurus nebulosus;Ameiurus nebulosus (Lesueur, 1819);2340989;1;https://ias.biodiversity.be/species/show/1
Amelanchier lamarckii;Amelanchier ×lamarckii F.G.Schroed.;3024109;35;https://ias.biodiversity.be/species/show/35
Anser indicus;Anser indicus (Latham, 1790);2498035;20;https://ias.biodiversity.be/species/show/20
Aster lanceolatus;Symphyotrichum lanceolatum (Willd.) G.L.Nesom;9202318;137;https://ias.biodiversity.be/species/show/137
Aster novi-belgii;Symphyotrichum novi-belgii (L.) G.L.Nesom;3151558;135;https://ias.biodiversity.be/species/show/135
Aster x salignus;Symphyotrichum ×salignum (Willd.) G.L.Nesom;3151811;138;https://ias.biodiversity.be/species/show/138
Azolla filiculoides;Azolla filiculoides Lam.;2650107;40;https://ias.biodiversity.be/species/show/40
Baccharis halimifolia;Baccharis halimifolia L.;3129663;41;https://ias.biodiversity.be/species/show/41
Bidens frondosa;Bidens frondosa L.;5392174;42;https://ias.biodiversity.be/species/show/42
Branta canadensis;Branta canadensis (Linnaeus, 1758);5232437;147;https://ias.biodiversity.be/species/show/147
Buddleja davidii;Buddleja davidii Franch.;3173338;44;https://ias.biodiversity.be/species/show/44
Cabomba caroliniana;Cabomba caroliniana A.Gray;2882443;120;https://ias.biodiversity.be/species/show/120
Callosciurus erythraeus;Callosciurus erythraeus (Pallas, 1779);2437394;126;https://ias.biodiversity.be/species/show/126
Callosciurus finlaysonii;Callosciurus finlaysonii (Horsfield, 1823);2437399;127;https://ias.biodiversity.be/species/show/127
Carassius gibelio;Carassius gibelio (Bloch, 1782);2366634;2;https://ias.biodiversity.be/species/show/2
Carpobrotus edulis;Carpobrotus edulis (L.) N.E.Br.;3084842;118;https://ias.biodiversity.be/species/show/118
Carpobrotus acinaciformis;Carpobrotus acinaciformis (L.) L.Bolus;3703606;118;https://ias.biodiversity.be/species/show/118
Castor canadensis;Castor canadensis Kuhl, 1820;2439838;123;https://ias.biodiversity.be/species/show/123
Cervus nippon;Cervus nippon Temminck, 1838;2440954;124;https://ias.biodiversity.be/species/show/124
Cornus sericea;Cornus sericea L.;3082244;106;https://ias.biodiversity.be/species/show/106
Cotoneaster horizontalis;Cotoneaster horizontalis Decne.;3025617;49;https://ias.biodiversity.be/species/show/49
Crassula helmsii;Crassula helmsii (Kirk) Cockayne;5362054;50;https://ias.biodiversity.be/species/show/50
Cygnus atratus;Cygnus atratus (Latham, 1790);2498344;52;https://ias.biodiversity.be/species/show/52
Cyperus eragrostis;Cyperus eragrostis Lam.;2715482;115;https://ias.biodiversity.be/species/show/115
Dama dama;Dama dama (Linnaeus, 1758);5220136;25;https://ias.biodiversity.be/species/show/25
Duchesnea indica;Potentilla indica (Andrews) Th.Wolf;5365717;107;https://ias.biodiversity.be/species/show/107
Echinocystis lobata;Echinocystis lobata (Michx.) Torr. & A.Gray;5331404;53;https://ias.biodiversity.be/species/show/53
Egeria densa;Elodea densa (Planch.) Casp.;5329263;54;https://ias.biodiversity.be/species/show/54
Elaeagnus angustifolia;Elaeagnus angustifolia L.;3039269;122;https://ias.biodiversity.be/species/show/122
Elodea canadensis;Elodea canadensis Michx.;2865448;56;https://ias.biodiversity.be/species/show/56
Elodea nuttallii;Elodea nuttallii (Planch.) H.St.John;5329212;57;https://ias.biodiversity.be/species/show/57
Epilobium ciliatum;Epilobium ciliatum Raf.;9188840;8;https://ias.biodiversity.be/species/show/8
Fallopia japonica;Reynoutria japonica Houtt.;2889173;9;https://ias.biodiversity.be/species/show/9
Fallopia sachalinensis;Reynoutria sachalinensis (F.Schmidt) Nakai;2889088;144;https://ias.biodiversity.be/species/show/144
Fallopia x bohemica;Reynoutria ×bohemica Chrtek & Chrtková;4038485;145;https://ias.biodiversity.be/species/show/145
Fraxinus pennsylvanica;Fraxinus pennsylvanica Marshall;3172348;134;https://ias.biodiversity.be/species/show/134
Gaillardia x grandiflora;Gaillardia ×grandiflora Van Houtte;5387817;59;https://ias.biodiversity.be/species/show/59
Harmonia axyridis;Harmonia axyridis (Pallas, 1773);4989904;102;https://ias.biodiversity.be/species/show/102
Helianthus tuberosus;Helianthus tuberosus L.;3119175;60;https://ias.biodiversity.be/species/show/60
Heracleum mantegazzianum;Heracleum mantegazzianum Sommier & Levier;3034825;10;https://ias.biodiversity.be/species/show/10
Hyacinthoides hispanica;Hyacinthoides hispanica (Mill.) Rothm.;5304257;132;https://ias.biodiversity.be/species/show/132
Hydrocotyle ranunculoides;Hydrocotyle ranunculoides L.fil.;7978544;63;https://ias.biodiversity.be/species/show/63
Impatiens glandulifera;Impatiens glandulifera Royle;2891770;65;https://ias.biodiversity.be/species/show/65
Impatiens parviflora;Impatiens parviflora DC.;2891782;66;https://ias.biodiversity.be/species/show/66
Koenigia polystachya;Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;8848208;85;https://ias.biodiversity.be/species/show/85
Lagarosiphon major;Lagarosiphon major (Ridl.) Moss;2865565;68;https://ias.biodiversity.be/species/show/68
Lemna minuta;Lemna minuta Kunth;2867614;69;https://ias.biodiversity.be/species/show/69
Lepomis gibbosus;Lepomis gibbosus (Linnaeus, 1758);2394486;3;https://ias.biodiversity.be/species/show/3
Lonicera japonica;Lonicera japonica Thunb.;5334240;72;https://ias.biodiversity.be/species/show/72
Ludwigia grandiflora;Ludwigia grandiflora (Michx.) Greuter & Burdet;5421039;11;https://ias.biodiversity.be/species/show/11
Ludwigia peploides;Ludwigia peploides (Kunth) P.H.Raven;5420991;12;https://ias.biodiversity.be/species/show/12
Lupinus polyphyllus;Lupinus polyphyllus Lindl.;2964355;108;https://ias.biodiversity.be/species/show/108
Lysichiton americanus;Lysichiton americanus Hultén & H.St.John;2869311;13;https://ias.biodiversity.be/species/show/13
Mahonia aquifolium;Mahonia aquifolium (Pursh) Nutt.;3033865;74;https://ias.biodiversity.be/species/show/74
Mimulus guttatus;Erythranthe guttata (DC.) G.L.Nesom;7346102;116;https://ias.biodiversity.be/species/show/116
Muntiacus reevesi;Muntiacus reevesi (Ogilby, 1839);2440946;125;https://ias.biodiversity.be/species/show/125
Mustela vison;Mustela vison Schreber, 1777;5218823;26;https://ias.biodiversity.be/species/show/26
Myocastor coypus;Myocastor coypus (Molina, 1782);4264680;27;https://ias.biodiversity.be/species/show/27
Myriophyllum aquaticum;Myriophyllum aquaticum (Vell.) Verdc.;5361785;76;https://ias.biodiversity.be/species/show/76
Myriophyllum heterophyllum;Myriophyllum heterophyllum Michx.;5361762;117;https://ias.biodiversity.be/species/show/117
Neogobius melanostomus;Neogobius melanostomus (Pallas, 1814);2379089;152;https://ias.biodiversity.be/species/show/152
Nyctereutes procyonoides;Nyctereutes procyonoides (Gray, 1834);2434552;78;https://ias.biodiversity.be/species/show/78
Oenothera biennis;Oenothera biennis L.;3188924;114;https://ias.biodiversity.be/species/show/114
Oenothera deflexa;Oenothera parviflora L.;8994150;114;https://ias.biodiversity.be/species/show/114
Oenothera glazioviana;Oenothera glazioviana Micheli;3188894;114;https://ias.biodiversity.be/species/show/114
Ondatra zibethicus;Ondatra zibethicus (Linnaeus, 1766);5219858;28;https://ias.biodiversity.be/species/show/28
Oxyura jamaicensis;Oxyura jamaicensis (J.F.Gmelin, 1789);2498305;22;https://ias.biodiversity.be/species/show/22
Parthenocissus inserta;Parthenocissus inserta (A.Kern.) Fritsch;3039203;133;https://ias.biodiversity.be/species/show/133
Parthenocissus quinquefolia;Parthenocissus quinquefolia (L.) Planch.;3039194;133;https://ias.biodiversity.be/species/show/133
Parthenocissus vitacea;Parthenocissus inserta (A.Kern.) Fritsch;3039203;133;https://ias.biodiversity.be/species/show/133
Pelophylax ridibundus;Pelophylax ridibundus (Pallas, 1771);2426661;89;https://ias.biodiversity.be/species/show/89
Perccottus glenii;Perccottus glenii Dybowski, 1877;2390064;82;https://ias.biodiversity.be/species/show/82
Phytolacca americana;Phytolacca americana L.;3084015;111;https://ias.biodiversity.be/species/show/111
Pimephales promelas;Pimephales promelas Rafinesque, 1820;2367742;4;https://ias.biodiversity.be/species/show/4
Procyon lotor;Procyon lotor (Linnaeus, 1758);5218786;29;https://ias.biodiversity.be/species/show/29
Prunus laurocerasus;Prunus laurocerasus L.;3021496;112;https://ias.biodiversity.be/species/show/112
Prunus serotina;Prunus serotina Ehrh.;3021850;14;https://ias.biodiversity.be/species/show/14
Pseudorasbora parva;Pseudorasbora parva (Temminck & Schlegel, 1846);2362868;5;https://ias.biodiversity.be/species/show/5
Psittacula krameri;Psittacula krameri (Scopoli, 1769);2479226;23;https://ias.biodiversity.be/species/show/23
Quercus rubra;Quercus rubra L.;2880539;87;https://ias.biodiversity.be/species/show/87
Rana catesbeiana;Lithobates catesbeianus (Shaw, 1802);2427091;88;https://ias.biodiversity.be/species/show/88
Rattus norvegicus;Rattus norvegicus (Berkenhout, 1769);2439261;90;https://ias.biodiversity.be/species/show/90
Rhododendron ponticum;Rhododendron ponticum L.;7327990;91;https://ias.biodiversity.be/species/show/91
Rhus typhina;Rhus typhina L.;3190538;113;https://ias.biodiversity.be/species/show/113
Robinia pseudoacacia;Robinia pseudoacacia L.;5352251;15;https://ias.biodiversity.be/species/show/15
Rosa rugosa;Rosa rugosa Thunb.;3003979;92;https://ias.biodiversity.be/species/show/92
Rudbeckia laciniata;Rudbeckia laciniata L.;3114229;93;https://ias.biodiversity.be/species/show/93
Sander lucioperca;Sander lucioperca (Linnaeus, 1758);2382155;6;https://ias.biodiversity.be/species/show/6
Sciurus carolinensis;Sciurus carolinensis Gmelin, 1788;5219681;30;https://ias.biodiversity.be/species/show/30
Senecio inaequidens;Senecio inaequidens DC.;3109086;16;https://ias.biodiversity.be/species/show/16
Solidago canadensis;Solidago canadensis L.;5389029;146;https://ias.biodiversity.be/species/show/146
Solidago gigantea;Solidago gigantea Aiton;5389017;17;https://ias.biodiversity.be/species/show/17
Spiraea alba;Spiraea alba Du Roi;3026585;141;https://ias.biodiversity.be/species/show/141
Spiraea douglasii;Spiraea douglasii Hook.;3027159;139;https://ias.biodiversity.be/species/show/139
Spiraea tomentosa;Spiraea tomentosa L.;3026819;140;https://ias.biodiversity.be/species/show/140
Spiraea x billardii;Spiraea ×billardii Hérincq;7889822;142;https://ias.biodiversity.be/species/show/142
Tamias sibiricus;Tamias sibiricus (Laxmann, 1769);2437450;31;https://ias.biodiversity.be/species/show/31
Threskiornis aethiopica;Threskiornis aethiopicus (Latham, 1790);2480764;24;https://ias.biodiversity.be/species/show/24
Umbra pygmaea;Umbra pygmaea (DeKay, 1842);5203111;7;https://ias.biodiversity.be/species/show/7
